Address,Postcode,Town/City,Property Type,Category,Block / Notes,Floor Area Sqm (EPC),Zoopla Low,Zoopla Central,Zoopla High,Moov Raw Central (M3),Moov Conservative Central,Target Ratio Min,Target Ratio Max,Moov/Zoopla Central Ratio,% Diff vs Zoopla,Row Status (PASS/CHECK),Base Â£/sqm,P25 Â£/sqm,Median Â£/sqm,Block Penalty,Small Unit Penalty,Confidence Penalty,CV Penalty,Confidence Score,Coefficient of Variation (CV),isExLocalAuthority,exLAScore,Comment,,#DIV/0!,0,22,83,#DIV/0!
"123 Green Lanes, London (Mixed-Use)",N4 2ES,London,Commercial / Mixed Use,DeskFail / Mixed Use,Mixed-use/commercial; should be caught by property-type logic.,,N/A,N/A,N/A,ADDR_FAIL,,,,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,
"12 Chiswick Terrace, Leeds (Student Terrace)",LS6 1QG,Leeds,House,Standard / Student House,Student terrace stock; houses should be conservative but fairly close to Zoopla.,,159000,176000,194000,DESK_REV,,0.85,0.95,0,-1,CHECK,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"Flat 120, Sudbury House, London",SW18 4TT,London,Flat,Ex-LA Tower Flat,Sister tower case to #14 â€“ absolutely key calibration anchor.,,209000,261000,313000,492000,315464,0.8,0.9,0,-1,CHECK,10249,10220,10318,25.0,10.0,5.0,0,70,0.02,True,3,,,,,,,
"201 Trellick Tower, 5 Golbourne Road, London",W10 5UY,London,Flat,Ex-LA Tower Flat,,,448000,560000,672000,DESK_REV,,0.8,0.9,0,-1,CHECK,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"Flat 76, Glenkerry House, 98 Burcham Street",E14 0SL,London,Flat,Ex-LA Tower Flat,,,86000,108000,130000,301018,196984,0.8,0.9,0,-1,CHECK,4985,4936,5102,25.0,6.0,5.0,0,70,0.04,True,3,,,,,,,
"Flat 44, Johnson House, Roberta Street, London",E2 6AN,London,Flat,Ex-LA Tower Flat,,,279000,349000,419000,DESK_REV,,0.8,0.9,0,-1,CHECK,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"Flat 16 Albion Towers, Cross Lane, Salford, Manchester",M15 5AJ,Manchester,Flat,Ex-LA Tower Flat,,,94000,117000,141000,ADDR_FAIL,,0.8,0.9,0,-1,CHECK,,,,,,,,,,,,,,,,,,
"7 Saxelby House, Kimpton Close, Birmingham",B14 5TE,Birmingham,Flat,Ex-LA Tower Flat,,,101000,126000,151000,ADDR_FAIL,,0.8,0.9,0,-1,CHECK,,,,,,,,,,,,,,,,,,
"6 Nicholson House Browning Estate, Brandon Street, London",SE17 1ED,London,Flat,Ex-LA Low Rise Flat ,,,N/A,N/A,N/A,DESK_REV,,0.8,0.9,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,Prior flag: No valid comparables found within 1 mile radius,,,,,,
"Flat 8, Montfort House, Galbraith Street, London",E14 3HE,London,Flat,Ex-LA Low Rise Flat ,,,288000,320000,352000,344313,290817,0.85,0.92,0,-1,CHECK,4569,4455,4836,0,0,5.0,0,70,0.12,False,2,,,,,,,
"Flat 122, Banister House, Homerton High Street, London",E9 6BN,London,Flat,Ex-LA Low Rise Flat ,,,297000,371000,445000,DESK_REV,,0.85,0.92,0,-1,CHECK,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"176 Waterville Drive, Vange, Basildon",SS16 4TY,Basildon,Flat,Private Commuter Flat,,,155000,163000,171000,DESK_REV,,0.9,0.97,0,-1,CHECK,,,,,,,,,,,,Prior flag: Only 2 valid comparable(s) found within 1 mile radius (minimum 3 required),,,,,,
"8 Cavendish Court, Bessemer Close, Basildon",SS16 5GG,Basildon,Flat,Private Commuter Flat,,,198000,220000,242000,DESK_REV,,0.9,0.97,0,-1,CHECK,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"15 Longhayes Court, Longhayes Avenue, Romford",RM6 5HJ,Romford,Flat,Private Commuter Flat,,,234000,260000,286000,248268,224403,0.9,0.97,0,-1,CHECK,3587,3570,3626,0,0,8.0,0,65,0.03,False,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12 Cathedral Walk, Chelmsford",CM1 1NX,Chelmsford,Flat,Private Commuter Flat,,,211000,222000,233000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"10 Milbank, Chelmer Village, Chelmsford",CM2 6YX,Chelmsford,House,Standard House,,,494000,520000,546000,302022,268789,0.85,0.95,,,,5574,5565,5593,0,6.0,5.0,0,75,0.05,False,0,,,,,,,
"34 Wells Crescent, Marconi Plaza, Chelmsford",CM1 1GN,Chelmsford,Flat,Private Commuter Flat,,,22500,237000,249000,193158,126329,0.9,0.97,,,,3210,2896,3942,0,10.0,8.0,3.0,60,0.22,False,0,,,,,,,
"21 Waterloo Chambers, Waterloo Lane, Chelmsford",CM1 1BD,Chelmsford,Flat,Private Commuter Flat,,,320000,355000,391000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"5 Hutton Road, Shenfield, Brentwood",CM15 8LA,Brentwood,Flat,Private Commuter Flat,,,241000,253000,266000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: Only 2 valid comparable(s) found within 1 mile radius (minimum 3 required),,,,,,
"11 Kensington Place, Priests Lane, Brentwood",CM15 8GA,Brentwood,Flat,Private Commuter Flat,,,402000,423000,444000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"29 St Kildas Road, Brentwood",CM15 9EX,Brentwood,House,Standard House,,,510000,567000,624000,435120,376869,0.85,0.95,,,,5852,5696,6216,0,0,8.0,0,60,0.17,False,1,,,,,,,
"5 The Clock Tower, The Galleries, Warley, Brentwood",CM14 5GF,Brentwood,Flat,Private Commuter Flat,,,479000,504000,529000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"10 Hepworth House, Edinburgh Gate, Harlow",CM20 2UB,Harlow,Flat,Private Commuter Flat,,,31400,330000,347000,245520,215840,0.9,0.97,,,,2840,2731,3093,0,0,5.0,0,70,0.12,False,0,,,,,,,
"6 Mill Court, Edinburgh Gate, Harlow",CM20 2JG,Harlow,Flat,Private Commuter Flat,,,196000,218000,239000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"14 Lavinia Road, Dartford",DA1 1TS,Dartford,House,Standard House,,,399000,420000,441000,343173,272172,0.85,0.95,,,,4046,3778,4670,0,0,5.0,3.0,75,0.2,False,0,,,,,,,
"43 Blenheim Road, Dartford",DA1 3EB,Dartford,House,Standard House,,,318000,334000,351000,DESK_REV,,0.85,0.95,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"46 Birdwood Avenue, Dartford",DA1 5GB,Dartford,Flat,Private Commuter Flat,,,237000,249000,262000,231335,196056,0.9,0.97,,,,3175,3099,3354,0,0,5.0,0,70,0.11,False,0,,,,,,,
"6 Hibernia Drive, Gravesend",DA12 4HT,Gravesend,House,Standard House,,,306000,322000,338000,DESK_REV,,0.85,0.95,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"19 Artillery Row, Gravesend,",DA12 1LY,Gravesend,House,Standard House,,,294000,310000,325000,DESK_REV,,0.85,0.95,,,,,,,,,,,,,,,Prior flag: No valid comparables found within 1 mile radius,,,,,,
"11 Chalk Road, Gravesend",DA12 4XE,Gravesend,House,Standard House,,,357000,376000,395000,DESK_REV,,0.85,0.95,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"131 Vigilant Way, Gravesend",DA12 4PJ,Gravesend,Flat,Private Commuter Flat,,,177000,186000,196000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: Only 2 valid comparable(s) found within 1 mile radius (minimum 3 required),,,,,,
"38 Suffolk Road, Gravesend,",DA12 2SN,Gravesend,House,Standard House,,,288000,304000,319000,DESK_REV,,0.85,0.95,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"27 Frazer Close, Romford",RM1 2DF,Romford,Flat,Private Commuter Flat,,,216000,228000,239000,199992,136338,0.9,0.97,,,,4543,4401,4873,5.0,10.0,10.0,0,55,0.17,False,1,,,,,,,
"9 The Maltings, Romford",RM1 2AW,Romford,Flat,Private Commuter Flat,,,255000,268000,282000,290020,231634,0.9,0.97,,,,4018,3901,4293,5.0,0,8.0,3.0,65,0.18,False,1,,,,,,,
"4 Rushdon Close, Romford",RM1 2RE,Romford,Flat,Private Commuter Flat,,,139000,154000,170000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"72 Monkwood Close, Romford",RM1 2NQ,Romford,Flat,Private Commuter Flat,,,246000,259000,272000,251503,226585,0.9,0.97,,,,3910,3819,4123,0,0,5.0,0,75,0.11,False,0,,,,,,,
"Flat 4, St Davids Court, South Street, Romford",RM1 2AJ,Romford,Flat,Private Commuter Flat,,,207000,218000,229000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"29 Brackley Crescent, Basildon",SS13 1RA,Basildon,Flat,Private Commuter Flat,,,193000,204000,214000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: No valid comparables found within 1 mile radius,,,,,,
"45 Fairfax Avenue, Basildon",SS13 1AY,Basildon,House,Standard House,,,286000,301000,317000,DESK_REV,,0.85,0.95,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"14 Winfields, Pitsea, Basildon",SS13 1HQ,Basildon,House,Standard House,,,280000,294000,309000,276320,241855,0.85,0.95,,,,2893,2787,3140,0,0,5.0,0,75,0.14,False,1,,,,,,,
"17 Canon Court, Basildon",SS13 1EN,Basildon,Flat,Private Commuter Flat,,,217000,228000,240000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"29 Northlands Place, Basildon",SS13 1FN,Basildon,House,Standard House,,,409000,431000,453000,356292,331295,0.85,0.95,,,,3229,3199,3299,0,0,5.0,0,70,0.1,False,0,,,,,,,
"14 Wood Green, Basildon",SS13 1RT,Basildon,House,Standard House,,,297000,313000,329000,DESK_REV,,0.85,0.95,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"5 Canon Court, Basildon",SS13 1EN,Basildon,Flat,Private Commuter Flat,,,222000,233000,245000,212740,170026,0.9,0.97,,,,3644,3548,3868,5.0,6.0,5.0,0,70,0.14,False,2,,,,,,,
"29 Davy Court, Rochester",ME1 1AE,Rochester,Flat,Private Commuter Flat,,,273000,288000,302000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"67 Mount Road, Rochester",ME1 3NH,Rochester,House,Standard House,,,276000,291000,305000,281392,269692,0.85,0.95,,,,3301,3243,3437,0,0,5.0,0,75,0.1,False,0,,,,,,,
"77 Merrick Close, Stevenage",SG1 6GH,Stevenage,Flat,Private Commuter Flat,,,214000,226000,237000,245027,213172,0.9,0.97,,,,4046,4000,4153,0,6.0,5.0,0,70,0.12,False,0,,,,,,,
"36 Wansbeck Close, Stevenage",SG1 6AA,Stevenage,House,Standard House,,,312000,329000,345000,DESK_REV,,0.85,0.95,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"32 Foyle Close, Stevenage",SG1 6BQ,Stevenage,House,Standard House,,,311000,327000,343000,382608,362657,0.85,0.95,,,,5302,5293,5324,0,0,5.0,0,70,0.03,False,0,,,,,,,
"19 Angelica Drive, London",E6 6NS,Barking,Flat,Private Commuter Flat,,,221000,233000,244000,238329,192041,0.9,0.97,,,,5947,5876,6111,0,10.0,8.0,0,60,0.14,False,0,,,,,,,
"51 Mountfield Road, London",E6 6BH,Barking,Flat,Private Commuter Flat,,,293000,309000,324000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"56 Downings, London",E6 6WP,Barking,Flat,Private Commuter Flat,,,285000,300000,315000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: No valid comparables found within 1 mile radius,,,,,,
"281 Tollgate Road, London",E6 5XW,Barking,Flat,Private Commuter Flat,,,211000,222000,233000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: Only 2 valid comparable(s) found within 1 mile radius (minimum 3 required),,,,,,
"81 Lichfield Road, London",E6 3LQ,Barking,House,Standard House,,,423000,446000,468000,DESK_REV,,0.85,0.95,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"5 Temple Road, London",E6 1LU,Barking,House,Standard House,,,351000,390000,428000,386973,323846,0.85,0.95,,,,4822,4719,5065,0,0,8.0,0,60,0.13,False,0,,,,,,,
"22 Seymour Road, Northfleet, Gravesend",DA11 7BN,Gravesend,House,Standard House,,,256000,269000,283000,DESK_REV,,0.85,0.95,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"233 Old Road West, Gravesend",DA11 0LU,Gravesend,House,Standard House,,,269000,283000,297000,276020,245980,0.85,0.95,,,,3499,3401,3730,0,0,5.0,0,70,0.18,False,0,,,,,,,
"72 Forest View Road, London",E12 5HU,Ilford,Flat,Private Commuter Flat,,,231000,244000,256000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"80 Grantham Road, London",E12 5NE,Ilford,House,Standard House,,,397000,418000,438000,DESK_REV,,0.85,0.95,,,,,,,,,,,,,,,Prior flag: No valid comparables found within 1 mile radius,,,,,,
"Flat 5, St James Court, 71 Aldersbrook Road, London",E12 5DL,Ilford,Flat,Private Commuter Flat,,,412000,434000,456000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"151 Forest View Road, London",E12 5HX,Ilford,Flat,Private Commuter Flat,,,241000,254000,267000,237015,183049,0.9,0.97,,,,5008,4954,5134,5.0,10.0,5.0,0,70,0.05,False,1,,,,,,,
"483 High Street North, London",E12 6TH,Ilford,Flat,Private Commuter Flat,,,276000,290000,305000,DESK_REV,,0.9,0.97,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"75 Empress Avenue, London",E12 5SA,Ilford,House,Standard House,,,469000,494000,518000,DESK_REV,,0.85,0.95,,,,,,,,,,,,,,,Subject property floor area is missing or zero. Cannot calculate ??/sqm valuation.,,,,,,
"147 Manor Road, Caddington, Luton",LU1 4HJ,Luton,House,Standard House,,,383000,403000,423000,DESK_REV,,0.85,0.95,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How to Use This Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. For each property row, paste the Moov API outputs into columns K (Raw Central), L (Conservative Central) and Râ€“AB (diagnostics fields) exactly as returned by the updated valuation engine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Do not change any formulas in columns Oâ€“Q or the summary cells in AEâ€“AI â€” these calculate performance against Zoopla.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. Tim will provide Zoopla values for each property in columns Hâ€“J, and the target calibration ranges in Mâ€“N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Your goal is for each rowâ€™s Row Status (column Q) to show PASS and for the overall summary in AI1 to read PASS after tuning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
